Codice_ateco,Descrizione_ateco
15,15 - FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
15.1,"15.1 - PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, PELLETTERIA E SELLERIA; PREPARAZIONE E TINTURA DI PELLICCE"
15.11,15.11 - Preparazione e concia del cuoio; preparazione e tintura di pellicce
15.11.0,15.11.0 - Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce
15.11.0,15.11.00 - Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce
15.12,"15.12 - Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
15.12.0,"15.12.0 - Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria"
15.12.1,15.12.01 - Fabbricazione di frustini e scudisci per equitazione
15.12.9,"15.12.09 - Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria"
15.2,15.2 - FABBRICAZIONE DI CALZATURE
15.20.,15.20 - Fabbricazione di calzature
15.20.1,15.20.1 - Fabbricazione di calzature
15.20.10,15.20.10 - Fabbricazione di calzature
15.20.2,15.20.2 - Fabbricazione di parti in cuoio per calzature
15.20.20,15.20.20 - Fabbricazione di parti in cuoio per calzature
16,16 - INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO
16.1,16.1 - TAGLIO E PIALLATURA DEL LEGNO
16.10,16.10 - Taglio e piallatura del legno
16.10.0,16.10.0 - Taglio e piallatura del legno
16.10.0,16.10.00 - Taglio e piallatura del legno
16.2,"16.2 - FABBRICAZIONE DI PRODOTTI IN LEGNO, SUGHERO, PAGLIA E MATERIALI DA INTRECCIO"
16.21,16.21 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
16.21.0,16.21.0 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
16.21.0,16.21.00 - Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
16.22,16.22 - Fabbricazione di pavimenti in parquet assemblato
16.22.0,16.22.0 - Fabbricazione di pavimenti in parquet assemblato
16.22.0,16.22.00 - Fabbricazione di pavimenti in parquet assemblato
16.23,16.23 - Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia
16.23.1,16.23.1 - Fabbricazione di porte e finestre in legno (escluse porte blindate)
16.23.10,16.23.10 - Fabbricazione di porte e finestre in legno (escluse porte blindate)
16.23.2,16.23.2 - Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia
16.23.20,16.23.20 - Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia
16.24,16.24 - Fabbricazione di imballaggi in legno
